country_code,country,year,indicator_code,indicator,value
CUB,Cuba,2010,SP.POP.TOTL,"Population, total",11297409
CUB,Cuba,2011,SP.POP.TOTL,"Population, total",11301571
CUB,Cuba,2012,SP.POP.TOTL,"Population, total",11303175
CUB,Cuba,2013,SP.POP.TOTL,"Population, total",11298167
CUB,Cuba,2014,SP.POP.TOTL,"Population, total",11285775
CUB,Cuba,2015,SP.POP.TOTL,"Population, total",11275065
CUB,Cuba,2016,SP.POP.TOTL,"Population, total",11265612
CUB,Cuba,2017,SP.POP.TOTL,"Population, total",11247829
CUB,Cuba,2018,SP.POP.TOTL,"Population, total",11227118
CUB,Cuba,2019,SP.POP.TOTL,"Population, total",11202846
CUB,Cuba,2020,SP.POP.TOTL,"Population, total",11176354
CUB,Cuba,2021,SP.POP.TOTL,"Population, total",11122168
CUB,Cuba,2022,SP.POP.TOTL,"Population, total",11059820
CUB,Cuba,2023,SP.POP.TOTL,"Population, total",11019931
CUB,Cuba,2024,SP.POP.TOTL,"Population, total",10979783
CUB,Cuba,2025,SP.POP.TOTL,"Population, total",
ESP,Spain,2010,SP.POP.TOTL,"Population, total",46576897
ESP,Spain,2011,SP.POP.TOTL,"Population, total",46742697
ESP,Spain,2012,SP.POP.TOTL,"Population, total",46773055
ESP,Spain,2013,SP.POP.TOTL,"Population, total",46604197
ESP,Spain,2014,SP.POP.TOTL,"Population, total",46460733
ESP,Spain,2015,SP.POP.TOTL,"Population, total",46422303
ESP,Spain,2016,SP.POP.TOTL,"Population, total",46458139
ESP,Spain,2017,SP.POP.TOTL,"Population, total",46571232
ESP,Spain,2018,SP.POP.TOTL,"Population, total",46782011
ESP,Spain,2019,SP.POP.TOTL,"Population, total",47118501
ESP,Spain,2020,SP.POP.TOTL,"Population, total",47359424
ESP,Spain,2021,SP.POP.TOTL,"Population, total",47443821
ESP,Spain,2022,SP.POP.TOTL,"Population, total",47786102
ESP,Spain,2023,SP.POP.TOTL,"Population, total",48352528
ESP,Spain,2024,SP.POP.TOTL,"Population, total",48848840
ESP,Spain,2025,SP.POP.TOTL,"Population, total",
SGP,Singapore,2010,SP.POP.TOTL,"Population, total",5076732
SGP,Singapore,2011,SP.POP.TOTL,"Population, total",5183688
SGP,Singapore,2012,SP.POP.TOTL,"Population, total",5312437
SGP,Singapore,2013,SP.POP.TOTL,"Population, total",5399162
SGP,Singapore,2014,SP.POP.TOTL,"Population, total",5469724
SGP,Singapore,2015,SP.POP.TOTL,"Population, total",5535002
SGP,Singapore,2016,SP.POP.TOTL,"Population, total",5607283
SGP,Singapore,2017,SP.POP.TOTL,"Population, total",5612253
SGP,Singapore,2018,SP.POP.TOTL,"Population, total",5638676
SGP,Singapore,2019,SP.POP.TOTL,"Population, total",5703569
SGP,Singapore,2020,SP.POP.TOTL,"Population, total",5685807
SGP,Singapore,2021,SP.POP.TOTL,"Population, total",5453566
SGP,Singapore,2022,SP.POP.TOTL,"Population, total",5637022
SGP,Singapore,2023,SP.POP.TOTL,"Population, total",5917648
SGP,Singapore,2024,SP.POP.TOTL,"Population, total",6036860
SGP,Singapore,2025,SP.POP.TOTL,"Population, total",
